TIT,TAT,AH,AFDP,GTEP,AT,AP,TEY,CDP,CO,Classification
1086.7,550.06,67.873,4.0214,24.992,26.235,1.0069,130.27,11.881,2.2033,2
1059.6,550.07,73.248,3.3292,20.322,25.413,1.0067,110.96,10.716,4.4304,2
1059.9,549.86,79.545,3.3803,20.394,24.874,1.0065,111.51,10.713,4.4864,1
1059.6,550.01,86.616,3.4198,20.364,24.408,1.0064,111.26,10.552,4.7531,1
1058.8,550.13,89.646,3.5038,20.3,24.254,1.0063,110.79,10.537,5.1677,1
1058.8,550.17,92.488,3.5499,20.302,24.11,1.0063,110.8,10.557,5.1022,1
1058.8,550.09,93.542,3.5246,20.381,24.263,1.0063,110.8,10.578,5.3423,1
1059.5,550.2,92.808,3.5283,20.52,24.924,1.0064,110.8,10.601,5.1268,1
1060.2,549.98,88.437,3.492,20.663,26.206,1.0066,110.8,10.643,4.9443,1
1090.5,550.15,79.497,4.2226,25.976,27.863,1.007,132.34,12.059,2.0896,1
1092.6,550.01,72.968,4.2411,26.306,29.086,1.0071,133.16,12.209,1.7906,1
1092.5,549.69,67.288,4.2845,26.259,30.71,1.0072,132.78,12.201,1.901,1
1061.2,550.04,52.671,3.483,20.822,31.874,1.007,109.79,10.72,3.3481,1
1060.6,549.99,56.929,3.4628,20.708,31.44,1.007,109.77,10.702,3.7291,1
1060.2,550.22,59.618,3.4314,20.646,31.024,1.0069,109.85,10.592,3.8267,2
1059.7,550.11,61.785,3.4275,20.527,30.151,1.0069,109.54,10.608,3.4175,2
1075.4,550.09,65.524,3.8003,23.268,28.83,1.0071,121.34,11.377,2.2873,2
1092.4,549.83,75.836,4.2166,26.147,27.702,1.0078,133.8,12.189,1.0117,2
1091.8,549.73,79.776,4.1914,26.032,26.674,1.008,133.8,12.165,1.7134,1
1091,549.79,82.018,4.1759,25.863,25.969,1.0078,133.79,12.14,1.6938,1
1074,550.28,85.168,3.8068,22.907,24.785,1.0079,121.83,11.341,3.5771,1
1058.7,549.98,89.579,3.4407,20.315,24.097,1.0077,110.84,10.566,4.5488,1
1059.4,550.1,90.642,3.4946,20.352,23.757,1.0077,111.32,10.683,4.5125,1
1059.9,550.05,91.42,3.4889,20.34,23.248,1.0078,111.86,10.684,4.5128,1
1058.6,549.93,93.502,3.5268,20.152,22.95,1.0078,110.93,10.603,4.8259,1
1059.9,549.88,94.328,3.5444,20.296,22.914,1.008,111.81,10.566,4.3641,1
1059.3,550.04,94.539,3.5867,20.227,22.889,1.0082,111.46,10.53,4.8449,1
1058.7,549.93,95.467,3.5483,20.248,23.72,1.0085,110.64,10.494,4.8303,1
1083.9,549.85,91.666,4.1027,24.719,25.388,1.0086,128.27,11.786,2.1733,1
1092.6,549.52,78.906,4.2306,26.285,27.258,1.0086,133.8,12.189,1.008,1
1093,550.01,74.96,4.2622,26.3,28.692,1.0089,133.82,12.218,1.7005,1
1093.5,549.98,69.195,4.2692,26.348,30.201,1.0092,133.83,12.244,1.7644,1
1094.5,550.08,62.248,4.2981,26.535,31.456,1.009,133.84,12.281,0.60136,1
1095,549.93,60.124,4.3527,26.732,31.859,1.0086,133.84,12.262,0.12828,1
1095.4,549.82,56.292,4.3671,26.817,32.492,1.0085,133.84,12.223,0.26433,1
1095.4,549.95,55.389,4.3476,26.77,32.788,1.0084,133.84,12.183,1.1131,1
1095.2,550.09,58.294,4.3293,26.697,32.342,1.0082,133.83,12.144,1.3214,1
1075.4,550.18,60.24,3.8361,23.301,32.054,1.0082,120.34,11.328,2.484,1
1061.1,550.04,61.442,3.4738,20.823,31.256,1.0082,110.48,10.698,4.0412,2
1060.7,549.88,59.217,3.4498,20.791,30.156,1.0081,110.45,10.771,3.5575,1
1094.2,550.2,62.336,4.1834,26.474,28.479,1.0087,134.81,12.26,0.78646,1
1092.7,550,67.451,4.1658,26.183,27.293,1.0086,134.29,12.253,0.66137,1
1089.9,550.22,72.231,4.0444,25.613,25.852,1.0086,132.85,12.076,1.2281,1
1091.4,550.22,75.242,4.0932,25.912,24.726,1.0087,134.45,12.142,1.5266,1
1090.1,549.85,75.802,4.0534,25.586,24.141,1.0086,133.58,12.181,1.9694,1
1089.6,550.35,78.476,4.0148,25.524,23.36,1.0085,133.43,12.023,1.8414,1
1088.9,549.88,79.221,4.0453,25.37,22.888,1.0085,133.17,11.975,1.6524,1
1089.3,549.66,81.248,4.0685,25.439,22.338,1.0086,133.77,11.963,1.5892,2
1089.4,550,82.605,4.0349,25.414,22.026,1.0087,133.79,11.95,1.6224,1
1090.1,550.12,82.98,4.078,25.625,23.208,1.0086,133.18,11.991,1.8246,1
1090.6,550.4,79.225,4.1647,25.891,25.386,1.0088,132.95,12.024,1.3137,1
1091.8,550.4,74.628,4.2422,26.103,27.85,1.0089,132.9,12.116,1.5487,1
1092,550.22,67.987,4.3097,26.163,29.606,1.0094,132.84,12.168,1.4104,1
1092.1,550.24,65.889,4.298,26.044,31.251,1.0097,132.86,12.168,1.5713,1
1092.5,550.03,61.611,4.3147,26.109,31.362,1.0097,132.86,12.191,1.4921,1
1093,550.26,58.874,4.3397,26.201,31.565,1.0094,132.85,12.221,2.9797,1
1094,549.69,45.384,4.4096,26.541,33.146,1.0082,132.86,12.247,0.077426,1
1091.5,549.82,56.178,4.1432,25.998,28.641,1.0093,132.84,12.157,1.0189,1
1088.4,550.19,68.771,4.0625,25.384,28.006,1.0089,130.83,11.986,1.2311,1
1091.3,549.81,72.782,4.1394,25.909,27.346,1.0086,133.18,12.114,1.412,1
1059.8,549.97,74.734,3.3765,20.544,26.746,1.0085,110.58,10.692,4.4856,1
1059,549.98,75.67,3.3536,20.387,26.251,1.0086,110.37,10.663,4.643,1
1059,550.07,75.708,3.3703,20.402,25.672,1.0087,110.5,10.625,5.0589,1
1057.6,550.02,76.443,3.3154,20.162,24.972,1.0089,109.81,10.549,5.0057,1
1058,549.81,78.89,3.3054,20.228,24.352,1.0091,110.4,10.54,5.139,1
1057.6,549.95,79.583,3.2878,20.153,23.865,1.0094,110.1,10.527,5.1509,2
1073.6,549.78,77.35,3.6934,22.888,24.398,1.0094,121.06,11.255,3.6993,2
1091.4,550.03,76.523,4.174,26.071,25.875,1.0096,133.25,12.074,1.2916,2
